1121,4798,43857,120
976,4637,39863,71
1004,5348,49235,55
983,3592,35986,85
1237,5974,40248,41
954,4872,31295,42
1017,5109,48293,41
869,3942,38501,48
926,4007,35018,43
1139,4820,46731,67
958,5018,41847,44
1174,4739,39946,49
994,3857,37452,41
663,2984,38351,19
686,3871,40018,36
664,3726,46913,28
934,2748,39120,24
816,2591,38592,29
537,3084,40184,18
839,3401,40984,6
748,4009,42974,36
1041,3691,38194,64
540,4092,34918,26
743,3781,38572,33
578,3091,47183,39
748,4018,39746,27
1814,17894,79583,177
811,6829,58392,135
944,3500,54854,142
870,12596,64616,209
